,Price,Levy,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Engine volume,Mileage
0,13328,1399.0,LEXUS,RX 450,2010,Jeep,Yes,Hybrid,3.5,186005
1,16621,1018.0,CHEVROLET,Equinox,2011,Jeep,No,Petrol,3.0,192000
2,8467,0.0,HONDA,FIT,2006,Hatchback,No,Petrol,1.3,200000
3,3607,862.0,FORD,Escape,2011,Jeep,Yes,Hybrid,2.5,168966
4,11726,446.0,HONDA,FIT,2014,Hatchback,Yes,Petrol,1.3,91901
5,39493,891.0,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2.0,160931
6,1803,761.0,TOYOTA,Prius,2010,Hatchback,Yes,Hybrid,1.8,258909
7,549,751.0,HYUNDAI,Sonata,2013,Sedan,Yes,Petrol,2.4,216118
8,1098,394.0,TOYOTA,Camry,2014,Sedan,Yes,Hybrid,2.5,398069
9,26657,0.0,LEXUS,RX 350,2007,Jeep,Yes,Petrol,3.5,128500
10,941,1053.0,MERCEDES-BENZ,E 350,2014,Sedan,Yes,Diesel,3.5,184467
11,8781,0.0,FORD,Transit,1999,Microbus,No,CNG,4.0,0
12,3000,0.0,OPEL,Vectra,1997,Goods wagon,No,CNG,1.6,350000
13,1019,1055.0,LEXUS,RX 450,2013,Jeep,Yes,Hybrid,3.5,138038
14,59464,891.0,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2.0,76000
15,549,1079.0,TOYOTA,CHR,2018,Jeep,Yes,Petrol,2.0,74146
16,7683,810.0,HYUNDAI,Elantra,2016,Sedan,Yes,Petrol,1.8,121840
17,28382,810.0,HYUNDAI,Elantra,2016,Sedan,Yes,Petrol,1.8,54317
18,549,2386.0,HYUNDAI,Sonata,2006,Sedan,Yes,Petrol,3.3,295059
19,941,1850.0,LEXUS,RX 400,2008,Jeep,Yes,Hybrid,3.5,364523
20,18826,531.0,HYUNDAI,Elantra,2012,Sedan,Yes,Petrol,1.6,112645
21,20698,586.0,TOYOTA,Prius,2012,Sedan,Yes,Plug-in Hybrid,1.8,187000
22,17562,1249.0,TOYOTA,Camry,2017,Sedan,Yes,Petrol,2.5,39709
23,7840,0.0,FORD,Transit,2001,Microbus,No,Diesel,2.0,230000
24,4704,0.0,OPEL,Vectra,1995,Sedan,No,Petrol,1.8,0
25,20385,0.0,MERCEDES-BENZ,E 220,2006,Sedan,Yes,Diesel,2.2,210000
26,549,2455.0,LEXUS,GX 470,2008,Jeep,Yes,Petrol,4.7,0
27,30,0.0,TOYOTA,Prius,2008,Sedan,No,Hybrid,1.5,169000
28,14454,583.0,HYUNDAI,Elantra,2011,Sedan,Yes,Petrol,1.6,158787
29,12074,1537.0,TOYOTA,Highlander,2009,Jeep,Yes,Hybrid,3.3,420550
30,15681,1288.0,MERCEDES-BENZ,Vito,2007,Goods wagon,No,Diesel,2.0,180000
31,19444,915.0,PORSCHE,Cayenne,2014,Jeep,Yes,Diesel,3.0,175056
32,6899,0.0,BMW,X5,2000,Jeep,Yes,CNG,4.4,200000
33,125,1750.0,TOYOTA,Highlander,2008,Sedan,Yes,Hybrid,3.3,287274
34,24462,0.0,JEEP,Grand Cherokee,2007,Jeep,Yes,Diesel,3.0,250000
35,23235,707.0,HYUNDAI,Santa FE,2011,Jeep,Yes,Diesel,2.0,162000
36,51746,1077.0,TOYOTA,CHR Limited,2019,Jeep,No,Petrol,2.0,10200
37,7527,1486.0,HONDA,FIT,2010,Hatchback,No,Hybrid,1.3,158000
38,19121,531.0,HYUNDAI,Elantra,2012,Sedan,Yes,Petrol,1.6,103490
39,314,1399.0,LEXUS,RX 450,2010,Jeep,Yes,Hybrid,3.5,382746
40,24462,751.0,TOYOTA,Camry,2013,Sedan,Yes,Petrol,2.4,203200
41,45734,1091.0,HYUNDAI,H1,2016,Universal,Yes,Diesel,2.5,61057
42,20165,650.0,VOLKSWAGEN,Jetta,2016,Sedan,Yes,Petrol,1.4,11200
43,21326,382.0,HYUNDAI,Sonata,2014,Sedan,Yes,Hybrid,2.4,141000
44,549,1436.0,PORSCHE,Cayenne,2010,Jeep,Yes,Petrol,3.6,160259
45,220,1194.0,TOYOTA,Tacoma,2013,Jeep,Yes,Petrol,4.0,239342
46,15681,503.0,TOYOTA,Prius C,2012,Hatchback,No,Hybrid,1.5,128000
47,55390,1017.0,HYUNDAI,Santa FE,2017,Jeep,Yes,Diesel,2.0,100734
48,12544,0.0,TOYOTA,Aqua,2012,Hatchback,No,Hybrid,1.5,141500
49,17249,0.0,FORD,Escape Hybrid,2008,Jeep,No,Hybrid,2.3,147000
50,34889,891.0,HONDA,Civic,2016,Sedan,Yes,Petrol,2.0,87768
51,862,1104.0,AUDI,Q7,2015,Jeep,Yes,Petrol,3.0,264014
52,14583,0.0,RENAULT,Megane 1.5CDI,2008,Sedan,No,Diesel,1.5,132542
53,392,1017.0,MERCEDES-BENZ,E 300,2017,Sedan,Yes,Petrol,2.0,1600
54,38500,639.0,AUDI,Q5,2014,Jeep,Yes,Petrol,2.0,87000
55,8781,0.0,MERCEDES-BENZ,C 180,2001,Coupe,No,Petrol,2.0,260000
56,87112,0.0,MERCEDES-BENZ,GLA 250,2019,Jeep,Yes,Petrol,2.0,5323
57,1411,629.0,NISSAN,Juke,2015,Jeep,Yes,Petrol,1.6,87112
58,392,919.0,BMW,535,2012,Sedan,Yes,Petrol,3.0,204318
59,23521,781.0,CHEVROLET,Cruze LT,2018,Sedan,No,Petrol,1.4,22000
60,16935,530.0,FORD,Fusion,2013,Sedan,No,Petrol,1.6,83000
61,10349,0.0,TOYOTA,VOXY,2007,Minivan,Yes,Petrol,2.4,170000
62,7213,530.0,NISSAN,Juke,2013,Jeep,Yes,Petrol,1.6,312118
63,5331,0.0,MERCEDES-BENZ,A 160,2004,Sedan,No,Petrol,1.6,130000
